0xCDB2D9;0x2026;ELLIPSIS_ICN
0xC14973;0x2190;LEFT_ARROW_ICN
0x850C3D;0x2191;UP_ARROW_ICN
0xB8F8AD;0x2192;RIGHT_ARROW_ICN
0x7DEF65;0x2193;DOWN_ARROW_ICN
0xBDFB4C;0x21D6;LEFT_UP_ARROW_ICN
0x668B74;0x21D8;RIGHT_DOWN_ARROW_ICN
0x8F1680;0xE541;C_UI_WEEKVIEW_CURSOR_ICN
0xAFC337;0xE542;C_UI_WEEKVIEW_HOURS_24_ICN
0x5B9EC9;0xE543;C_UI_WEEKVIEW_HOURS_AM_PM_ICN
0xB83E6A;0xE544;C_UI_WEEKVIEW_TODAY_ICN
0x94768E;0xE545;CHINESE_CAL_FIVE_ICN
0x94D6DB;0xE546;CHINESE_CAL_FOUR_ICN
0xCC4710;0xE547;CHINESE_CAL_ONE_ICN
0xB44552;0xE548;CHINESE_CAL_SEVEN_ICN
0xCC067F;0xE549;CHINESE_CAL_SIX_ICN
0xC8054A;0xE54A;CHINESE_CAL_THREE_ICN
0xCC1AC6;0xE54B;CHINESE_CAL_TWO_ICN
0x29B2D4;0xE54C;CHINESE_CAL_WEEK_ICN
0xAD5CA6;0xE54D;CHINESE_DAY2_ICN
0xBFC240;0xE54E;CHINESE_MONTH2_ICN
0xE9C500;0xE54F;CHINESE_WEEKVIEW_FIVE_ICN
0xE96555;0xE550;CHINESE_WEEKVIEW_FOUR_ICN
0xE32517;0xE551;CHINESE_WEEKVIEW_HOURS_12_ICN
0xE325D1;0xE552;CHINESE_WEEKVIEW_HOURS_24_ICN
0xF5B1DE;0xE553;CHINESE_WEEKVIEW_ONE_ICN
0xD8A6CD;0xE554;CHINESE_WEEKVIEW_SEVEN_ICN
0xF5F0B1;0xE555;CHINESE_WEEKVIEW_SIX_ICN
0xA4E6D5;0xE556;CHINESE_WEEKVIEW_THREE_ICN
0xF5EC08;0xE557;CHINESE_WEEKVIEW_TWO_ICN
0x9C4935;0xE558;CHINESE_YEAR2_ICN
0x450250;0xE559;GENERAL_BULLET_LIST_CIRCLE_ICN
0xD5BF95;0xE55A;GENERAL_BULLET_LIST_DISC_ICN
0x5165D8;0xE55B;GENERAL_BULLET_LIST_SQUARE_ICN
0xE0F81C;0xE55C;STANDBY_DATE_CJK_DAY_ICN
0x6AC340;0xE55D;STANDBY_DATE_CJK_MONTH_ICN
0x5BABD0;0xE55E;STANDBY_DATE_CJK_YEAR_ICN
0xC82919;0xE55F;ACCESS_0_ICN
0xC82918;0xE560;ACCESS_1_ICN
0xC8291B;0xE561;ACCESS_2_ICN
0xC8291A;0xE562;ACCESS_3_ICN
0xC8291D;0xE563;ACCESS_4_ICN
0xC8291C;0xE564;ACCESS_5_ICN
0xC8291F;0xE565;ACCESS_6_ICN
0xC8291E;0xE566;ACCESS_7_ICN
0xC82911;0xE567;ACCESS_8_ICN
0xC82910;0xE568;ACCESS_9_ICN
0xAB0155;0xE569;ACCESS_SQUARE_ICN
0xD995A4;0xE56A;ACCESS_STAR_ICN
0xD06663;0xE56B;ACCESSORY_ICN
0xE2379B;0xE56C;ALARM_ON_ICN
0xE9609E;0xE56D;ALARMBELL_ICN
0x0154E0;0xE56E;ALL_DAY_ICN
0x9A7C46;0xE56F;APPOINTMENT_REMINDER_SLEEPMODE_ICN
0xEF8028;0xE570;ASR_EXTERNAL_ICN
0x91840C;0xE571;ASR_ICN
0xE0A064;0xE572;AT_SIGN_ICN
0xE1E8E0;0xE573;BLOG_BLOGTHIS_MOREMENU_ICN
0xFBEC88;0xE574;BLOG_EDITOR_BACKGROUND_ICN
0x839841;0xE575;BLOG_EDITOR_HEADER_ICN
0x5B2681;0xE576;BLOG_EDITOR_INPUTSTATUS_ICN
0xBBA15D;0xE577;BLOG_PUBLISHING_ICN
0x9590DE;0xE578;BREAK_WORD_WRAP_SWITCH_ICN
0xA9BBB9;0xE579;BT_ACCESS_POINT_ICN
0x5ED85D;0xE57A;BT_ACTIVE_HANDSFREE_CONNECTED_ICN
